ï»¿datasheet_id|line|ability_id|model|name|description|type|parameter|
000000006|6|||Grot Oiler|Once per battle, at the end of your Movement phase, one model in the bearerâs unit regains D3 lost wounds.<br><br><b>Designerâs Note:</b> <i>Place a Grot Oiler token next to the unit, removing it once this ability has been used.</i>|Wargear||
000000007|1|000008346||||Core||
000000007|2|000003676||||Faction||
000000007|3|||Kustom Force Field|While the bearer is leading a unit, models in that unit have a 4+ invulnerable save against ranged attacks.|Wargear||
000000007|4|||More Dakka|While this model is leading a unit, each time a model in that unit makes a ranged attack, re-roll a Hit roll of 1.|Datasheet||
000000007|5|||Mekaniak|At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3" of this model. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class="kwb">VEHICLE</span> model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn.|Datasheet||
000000008|1|000008346||||Core||
000000008|2|000003676||||Faction||
000000008|3|||Prophet of Da Great Waaagh!|While this unit is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll and add 1 to the Wound roll and if the Waaagh! is active for your army, a Critical Hit is scored on a successful unmodified Hit roll of 5+.|Datasheet||
000000008|4|||Ghazghkullâs Waaagh! Banner (Aura)|While a friendly <span class="kwb">ORKS</span> unit is within 12" of Makari, if the Waaagh! is active for your army, melee weapons equipped by models in that unit have the [LETHAL HITS] ability.|Datasheet||
000000008|5|||SUPREME COMMANDER|If this unit is in your army, its Ghazghkull Thraka model must be your Warlord.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000009|1|000008346||||Core||
000000009|2|000003676||||Faction||
000000009|3|||Flashiest Gitz|While this model is leading a unit, each time a model in that unit makes a ranged attack, you can re-roll the Hit roll.|Datasheet||
000000009|4|||Ded Glowy Ammo (Aura)|While an enemy Infantry unit is within 6" of this model, subtract 1 from the Toughness characteristic of models in that unit.|Datasheet||
000000010|1|000008343||||Core||
000000010|2|000008338||||Core|6+|
000000010|3|000008346||||Core||
000000010|4|000003676||||Faction||
000000010|5|||Drill Boss|While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll.|Datasheet||
000000010|6|||Plummeting Descent|You can re-roll Charge rolls made for this modelâs unit in a turn in which it was set up on the battlefield from Reserves.|Datasheet||
000000011|1|000008345||||Core||
000000011|2|000008346||||Core||
000000011|3|000008336||||Core||
000000011|4|000008337||||Core||
000000011|5|000003676||||Faction||
000000011|6|||Red Skull Kommandos|While this model is leading a unit, models in that unit have the Benefit of Cover.|Datasheet||
000000011|7|||Kunninâ Infiltrator|Once per battle, in your Movement phase, instead of making a Normal move with this modelâs unit, you can remove it from the battlefield and set it up again anywhere on the battlefield that is more than 9" horizontally away from all enemy models.|Datasheet||
000000012|1|000008346||||Core||
000000012|2|000003676||||Faction||
000000012|3|||Mekboy|While this model is within 3" of one or more friendly Orks Vehicle units, this model has the Lone Operative ability.|Datasheet||
000000012|4|||Mekaniak|At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3" of this model. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class="kwb">VEHICLE</span> model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn.|Datasheet||
000000013|1|000008346||||Core||
000000013|2|000003676||||Faction||
000000013|3|||Grot Orderly|Once per battle, in your Command phase, if the bearer is leading a unit that is below its Starting Strength, you can return up to D3 destroyed Bodyguard models to that unit.<br><br><b>Designerâs Note:</b> <i>Place a Grot Orderly token next to the unit, removing it once this ability has been used</i>|Wargear||
000000013|4|||Dokâs Toolz|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
000000013|5|||Hold Still and Say âAargh!â|Each time an attack made by this model with its âurty syringe scores a Critical Wound against a unit (excluding <span class="kwb">VEHICLE</span> units), that unit suffers D6 mortal wounds.|Datasheet||
000000014|1|000008346||||Core||
000000014|2|000003676||||Faction||
000000014|3|||Dokâs Toolz|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
000000014|4|||Hold Still and Say âAargh!â|Each time an attack made by this model with its âurty syringe scores a Critical Wound against a unit (excluding <span class="kwb">VEHICLE</span> units), that unit suffers D6 mortal wounds.|Datasheet||
000000015|1|000008338||||Core|5+|
000000015|2|000008346||||Core||
000000015|3|000003676||||Faction||
000000015|4|||Mad Dok|While this model is leading a unit, models in that unit have the Feel No Pain 5+ ability.|Datasheet||
000000015|5|||One Scalpel Short of a Medpack|While this model is leading a unit, that unit is eligible to declare a charge in a turn in which it Fell Back.|Datasheet||
000000016|1|000003676||||Faction||
000000016|2|||Get Da Good Bitz|At the end of your Command phase, if this unit is within range of an objective marker you control, that objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.|Datasheet||
000000016|3|||BODYGUARD|If this unit has a Starting Strength of 20, you can attach up to two Leader units to it instead of one (but only if one of those is a Warboss unit). If you do, and this unit is destroyed, the Leader units attached to it become separate units with their original Starting Strengths.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000017|1|000003676||||Faction||
000000017|2|||Runtherd|While this unit contains one or more Gretchin models, each time an attack targets this unit, Runtherd models in this unit have a Toughness characteristic of 2.|Datasheet||
000000017|3|||Thievinâ Scavengers|At the start of your Movement phase, roll one D6 for each objective marker you control that has one or more units from your army with this ability within range of it (excluding Battle-shocked units). If one or more of those rolls is a 4+, you gain 1CP.|Datasheet||
000000019|1|000003676||||Faction||
000000019|2|||Pyromaniaks|Each time a model in this unit makes a ranged attack with a burna that targets an enemy unit within 6", re-roll a Wound roll of 1. If the target of that attack is also within range of an objective marker, you can re-roll the Wound roll instead.|Datasheet||
000000020|1|000003676||||Faction||
000000020|2|||Tank Hunters|Each time a model in this unit makes a ranged attack that targets a <span class="kwb">MONSTER</span> or <span class="kwb">VEHICLE</span> unit, add 1 to the Hit roll and add 1 to the Wound roll.|Datasheet||
000000020|3|||Bomb Squigs|Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.<br><br><b>Designerâs Note:</b> <i>Place two Bomb Squig tokens next to the unit, removing one each time this unit uses this ability.</i>|Datasheet||
000000020|4|||Pulsa Rokkit|Once per battle, when the bearerâs unit is selected to shoot in your Shooting phase, the bearer can use its pulsa rokkit. If it does, until the end of the phase, improve the Strength and Armour Penetration characteristics of ranged weapons equipped by models in the bearerâs unit by 1.|Wargear||
000000020|5|||ATTACHED UNIT|If a Character unit from your army with the Leader ability can be attached to a Lootas unit, it can be attached to this unit instead.|Fortification (Ð»ÐµÐ²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000021|1|000003676||||Faction||
000000021|2|||Da Bossâ Ladz|While a Warboss model is leading this unit, each time an attack targets this unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of this unit, subtract 1 from the Wound roll.|Datasheet||
000000021|3|||Ammo Runt|Once per battle for each ammo runt this unit has, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the [LETHAL HITS] ability.<br><br><b>Designerâs Note:</b> <i>Place the relevant number of Ammo Runt tokens next to the unit, removing one each time the unit uses this ability.</i>|Wargear||
000000022|1|000008346||||Core||
000000022|2|000003676||||Faction||
000000022|3|||Plant the Waaagh! Banner|Once per battle, at the start of the battle round, this model can use this ability. If it does, until the start of the next battle round, this modelâs unit gains the benefits of the Waaagh! ability as if you had called a Waaagh! this battle round.|Datasheet||
000000022|4|||Da Boss Iz Watchinâ|While this model is gaining the benefits of the Waaagh! ability, it has a 4+ invulnerable save and an Objective Control characteristic of 5.|Datasheet||
000000023|1|000003676||||Faction||
000000023|2|||Drive-by Krumpin'|Each time this unit Consolidates, each model in this unit can move up to 6" instead of up to 3".|Datasheet||
000000023|3|||SPEED FREEKS MOB|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000024|1|000003676||||Faction||
000000024|2|||Krumpinâ Time|While the Waaagh! is active for your army, models in this unit have the Feel No Pain 5+ ability.|Datasheet||
000000025|1|000008345||||Core||
000000025|2|000008337||||Core||
000000025|3|000003676||||Faction||
000000025|4|||Distraction Grot|Once per battle, in your opponentâs Shooting phase, before making a saving throw for a model in this unit, it can deploy the distraction grot. If it does, until the end of the phase, models in this unit have a 5+ invulnerable save.<br><br><b>Designerâs Note:</b> <i>Place a Distraction Grot token next to the unit, removing it when this unit uses this ability.</i>|Wargear||
000000025|5|||Bomb Squigs|Once per battle, for each bomb squig this unit has, after this unit ends a Normal move, you can use one Bomb Squig. If you do, select one enemy unit within 12" and visible to this unit and roll one D6: on a 3+, that enemy unit suffers D3 mortal wounds.<br><br><b>Designerâs Note:</b> <i>Place a Bomb Squig token next to the unit, removing it when this unit uses this ability.</i>|Wargear||
000000025|6|||Sneaky Surprise|Enemy units cannot use the Fire Overwatch Stratagem to shoot at this unit.|Datasheet||
000000025|7|||PATROL SQUAD|At the start of the Declare Battle Formations step this unit can be split into two units, each containing five models.<br>(when splitting a unit in this way, make a note of which models form each of the two new units. If you are splitting a unit that is equipped with 1 bomb squig and/or 1 distraction grot, only one of the new units can use that ability during the battle â make a note of which of the new units this will be).|Fortification (Ð»ÐµÐ²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000026|1|000008339||||Core|D3|
000000026|2|000008334||||Core|12|
000000026|3|000003676||||Faction||
000000026|4|||Grot Riggers|At the start of your Command phase, this model regains 1 lost wound.|Datasheet||
000000027|1|000008343||||Core||
000000027|2|000003676||||Faction||
000000027|3|||Full Throttle|This unit is eligible to declare a charge in a turn in which it Advanced or Fell Back.|Datasheet||
000000028|1|000008343||||Core||
000000028|2|000003676||||Faction||
000000028|3|||Deff from Above|Each time this unit ends a Normal move, you can select one enemy unit it moved over during that move and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 mortal wound.|Datasheet||
000000029|1|000008339||||Core|D3|
000000029|2|000003676||||Faction||
000000029|3|||Dakkastorm|Each time this model makes a ranged attack, every successful Hit roll scores a Critical Hit.|Datasheet||
000000030|1|000008339||||Core|D3|
000000030|2|000003676||||Faction||
000000030|3|||Burna Bomb|Each time this model ends a Normal move, you can select one enemy unit it moved over during that move. Until the end of the turn, models in that unit cannot have the Benefit of Cover. In addition, roll one D6 for each model in that unit: for each 6, that unit suffers 1 mortal wound.|Datasheet||
000000031|1|000008339||||Core|D3|
000000031|2|000003676||||Faction||
000000031|3|||Boom Bomb|Each time this model ends a Normal move, you can select one enemy unit it moved over during that move and roll one D6: on a 4+, that unit suffers D6 mortal wounds.|Datasheet||
000000032|1|000008339||||Core|D3|
000000032|2|000003676||||Faction||
000000032|3|||Blastajet Attack Run|Each time this model makes a ranged attack that targets a unit that cannot <span class="kwb">FLY</span>, re-roll a Hit roll of 1.|Datasheet||
000000032|4|||Blastajet Force Field|The bearer has a 4+ invulnerable save, but it loses the Grenades keyword.|Wargear||
000000033|1|000003676||||Faction||
000000033|2|||Drive-by Dakka|Each time a model in this unit makes a ranged attack that targets a unit within 9", improve the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000034|1|000003676||||Faction||
000000034|2|||Drive-by Dakka|Each time a model in this unit makes a ranged attack that targets a unit within 9", improve the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000034|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000035|1|000003676||||Faction||
000000035|2|||Pyromaniaks|Each time a model in this unit makes a ranged attack with a Torrent weapon that targets an enemy unit within 6", re-roll a Wound roll of 1. If the target of that attack is also within range of an objective marker, you can re-roll the Wound roll instead.|Datasheet||
000000035|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000036|1|000003676||||Faction||
000000036|2|||Outflank|When this unit arrives from Strategic Reserves, it can be set up within your opponentâs deployment zone (all other restrictions still apply).|Datasheet||
000000036|3|||SPEED FREEKS|If a model from your army with the Leader ability can be attached to a Warbikers unit, it can be attached to this unit instead.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000037|1|000003676||||Faction||
000000037|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit containing 10 or more models, re-roll a Hit roll of 1.|Datasheet||
000000037|3|||BIG GUNZ|<b>Designerâs Note:</b> <i>Place two Grot Crew tokens next to each Mek Gun model when this unit is first set up, removing one each time its Big Gun model loses a wound (a Big Gun model itself is considered to represent its final wound).</i>|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000038|1|000003676||||Faction||
000000038|2|||Splat!|Each time a model in this unit makes a ranged attack that targets a unit that is at its Starting Strength (excluding <span class="kwb">MONSTERS</span> and <span class="kwb">VEHICLES</span>), re-roll a Hit roll of 1.|Datasheet||
000000038|3|||Bubblechukka|Before selecting targets for one or more models equipped with this weapon, roll one D6 to determine which profile models equipped with this weapon will make attacks with, comparing the result with the numbers shown on the left.|Wargear profile||
000000039|1|000008339||||Core|D6|
000000039|2|000008334||||Core|11|
000000039|3|000003676||||Faction||
000000039|4|||Ramshackle but Rugged|Each time an attack is allocated to this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000039|5|||âArd Case|Add 2 to the bearerâs Toughness characteristic, but it no longer has the Firing Deck ability.|Wargear||
000000040|1|000008339||||Core|1|
000000040|2|000003676||||Faction||
000000040|3|||Piston-driven Brutality|Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.|Datasheet||
000000040|4|||Dead Choppy|The Attacks characteristic of this weapon is increased by 1 for each additional dread klaw this model is equipped with.|Wargear profile||
000000041|1|000008339||||Core|1|
000000041|2|000003676||||Faction||
000000041|3|||Shooty Power Trip|Each time this unit is selected to shoot, you can roll one D6:<br><ul><li>On a 1-2, this unit suffers D3 mortal wounds.</li><li>On a 3-4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit.</li><li>On a 5-6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit.</li></ul>|Datasheet||
000000042|1|000008339||||Core|D6|
000000042|2|000003676||||Faction||
000000042|3|||Clankinâ Forward|Each time this model makes a Normal, Advance or Fall Back move, it can move over enemy models (excluding <span class="kwb">MONSTER</span> and <span class="kwb">VEHICLE</span> models) and terrain features that are 4" or less in height as if they were not there.|Datasheet||
000000042|4|||Big anâ Shooty|Each time this model makes a ranged attack, if the Waaagh! is active for your army, add 1 to the Hit roll.|Datasheet||
000000043|1|000008339||||Core|D6|
000000043|2|000003676||||Faction||
000000043|3|||Clankinâ Forward|Each time this model makes a Normal, Advance or Fall Back move, it can move over enemy models (excluding <span class="kwb">MONSTER</span> and <span class="kwb">VEHICLE</span> models) and terrain features that are 4" or less in height as if they were not there.|Datasheet||
000000043|4|||Big anâ Stompy|Each time this model makes a melee attack, if the Waaagh! is active for your army, add 1 to the Hit roll.|Datasheet||
000000044|1|000003676||||Faction||
000000044|2|||Datâs Our Loot!|Each time a model in this unit makes a ranged attack, re-roll a Hit roll of 1. If that attack targets a unit that is within range of an objective marker, you can re-roll the Hit roll instead.|Datasheet||
000000045|1|000003676||||Faction||
000000045|2|||Gun-crazy Show-offs|Each time a model in this unit targets the closest eligible target with its snazzgun, until the end of the phase, that weapon has an Attacks characteristic of 4.|Datasheet||
000000045|3|||Ammo Runt|Once per battle, when this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, ranged weapons equipped by models in this unit have the [LETHAL HITS] ability.<br><br><b>Designerâs Note:</b> <i>Place an Ammo Runt token next to the unit, removing it after this ability has been used.</i>|Wargear||
000000046|1|000008339||||Core|2D6|
000000046|2|000003676||||Faction||
000000046|3|||Waaagh! Effigy (Aura)|While a friendly <span class="kwb">ORKS</span> unit is within 12" of this model, each time you take a Battle-shock test for that unit, add 1 to that test.|Datasheet||
000000046|4|||Stompinâ Forward|Each time this model makes a Normal, Advance or Fall Back move, it can move over models (excluding <span class="kwb">TITANIC</span> models) and terrain features that are 4" or less in height as if they were not there.|Datasheet||
000000049|1|000008339||||Core|1|
000000049|2|000003676||||Faction||
000000049|3|||Scatter!|Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6".|Datasheet||
000000050|1|000008339||||Core|D3|
000000050|2|000003676||||Faction||
000000050|3|||Bizarrely Resilient|Each time an attack targets this model, worsen the Armour Penetration characteristic of that attack by 1.|Datasheet||
000000051|1|000008339||||Core|D6|
000000051|2|000008334||||Core|10|
000000051|3|000003676||||Faction||
000000051|4|||Trample|Each time this model is selected to fight, you can select one enemy unit within Engagement Range of it and roll one D6, adding 2 to the result if this model made a Charge move this turn: on a 4-5, that enemy unit suffers D3 mortal wounds; on a 6+, that enemy unit suffers 3 mortal wounds.|Datasheet||
000000052|1|000008339||||Core|D6|
000000052|2|000003676||||Faction||
000000052|3|||Mekaniak|At the end of your Movement phase, you can select one friendly Orks Vehicle model within 3" of this model. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds, and, until the start of your next Movement phase, each time that <span class="kwb">VEHICLE</span> model makes an attack, add 1 to the Hit roll. Each model can only be selected for this ability once per turn.|Datasheet||
000000052|4|||Dead Rippy|If this model is equipped with 2 dread killsaws, those weapons have the [TWIN-LINKED] ability. If this model is equipped with 2 dread rippa klaws, those weapons have the [TWIN-LINKED] ability.|Datasheet||
000000053|1|000008339||||Core|D6|
000000053|2|000003676||||Faction||
000000053|3|||Da Bigger Dey Are, da Better Dey Drop|Each time an attack made with this modelâs lifta-droppa destroys an enemy model that has the Deadly Demise ability, that modelâs Deadly Demise ability inflicts mortal wounds on a D6 roll of 3+ instead of on a 6.|Datasheet||
000000054|1|000008339||||Core|D3|
000000054|2|000008334||||Core|12|
000000054|3|000003676||||Faction||
000000054|4|||Spiked Ram|Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-5, that enemy unit suffers D3 mortal wounds; on a 6, that enemy unit suffers 3 mortal wounds.|Datasheet||
000000055|1|000008339||||Core|D6|
000000055|2|000008334||||Core|6|
000000055|3|000003676||||Faction||
000000055|4|||Big Booms|In your Shooting phase, just after selecting a target for this modelâs supa-kannon, roll one D6 for the target unit and every other unit within 3" of that unit: on a 5+, the unit being rolled for is struck by a concussive wave. After this model has finished making its attacks against that target unit this phase, each unit struck by a concussive wave this phase suffers D3 mortal wounds.|Datasheet||
000000056|1|000008339||||Core|D6+2|
000000056|2|000003676||||Faction||
000000056|3|||Wall of Dakka|Each time this model makes a ranged attack that targets a unit within half range, add 1 to the Hit roll.|Datasheet||
000000057|1|000008339||||Core|D3|
000000057|2|000008343||||Core||
000000057|3|000008334||||Core|12|
000000057|4|000003676||||Faction||
000000057|5|||Big Bomms|Once per battle, after the bearer ends a Normal move, you can select one enemy unit it moved across during that move and roll six D6: for each 4+, that unit suffers 1 mortal wound.|Wargear||
000000057|6|||Aerial Deployment|If this model starts the game in Strategic Reserves, it can be set up in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules.|Datasheet||
000000059|1|000008339||||Core|2D6|
000000059|2|000008334||||Core|20|
000000059|3|000003676||||Faction||
000000059|4|||Gargantuan|Each time this model makes a Normal, Advance or Fall Back move, it can move over models (excluding <span class="kwb">TITANIC</span> models) and terrain features that are 4" or less in height as if they were not there.|Datasheet||
000000059|5|||Walking Bastion|This model does not suffer the penalty to its Hit rolls for making ranged attacks while enemy units are within Engagement Range of it.|Datasheet||
000000060|1|000008346||||Core||
000000060|2|000008350||||Faction||
000000060|3|||Surgical Precision|While this model is leading a unit, weapons equipped by models in that unit have the [LETHAL HITS] ability.|Datasheet||
000000060|4|||Vivispectrum|If this modelâs unit destroys an enemy unit as the result of a melee attack, until the end of the battle, this model has an Objective Control characteristic of 9.|Datasheet||
000000061|1|000008350||||Faction||
000000061|2|||Astartes Shield|The bearer has a 4+ invulnerable save.|Wargear||
000000061|3|||Chainsword Doctrines|Each time this unit is selected to fight, select one of the following abilities to apply to all Astartes chainswords equipped by models in this unit until the end of the phase: <br><ul><li>[SUSTAINED HITS 1] </li><li>[LETHAL HITS] </li><li>[LANCE]</li></ul>|Datasheet||
000000061|4|||ATTACHED UNITS|If a Character unit from your army with the Leader ability can be attached to an Assault Intercessor Squad, it can also be attached to this unit.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000063|1|000008346||||Core||
000000063|2|000008350||||Faction||
000000063|3|||Narthecium|While this model is leading a unit, in your Command phase, you can return 1 destroyed model (excluding Character models) to that unit.|Datasheet||
000000063|4|||Gene-seed Recovery|When this modelâs Bodyguard unit is destroyed, roll one D6: on a 2+, you gain 1CP.|Datasheet||
000000064|1|000008343||||Core||
000000064|2|000008350||||Faction||
000000064|3|||Astartes Shield|The bearer has a 4+ invulnerable save.|Wargear||
000000064|4|||Hammer of Wrath|Each time this unit ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6 for each model in this unit: for each 4+, that enemy unit suffers 1 mortal wound.|Datasheet||
000000064|5|||ATTACHED UNITS|If a Character unit from your army with the Leader ability can be attached to Assault Intercessors with Jump Packs, it can also be attached to this unit.|Special (Ð¿ÑÐ°Ð²Ð°Ñ ÐºÐ¾Ð»Ð¾Ð½ÐºÐ°)||
000000065|1|000008339||||Core|D6|
000000065|2|000008350||||Faction||
000000065|3|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
000000065|4|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
000000066|1|000008339||||Core|D6|
000000066|2|000008350||||Faction||
000000066|3|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
000000066|4|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
000000067|1|000008339||||Core|D6|
000000067|2|000008350||||Faction||
000000067|3|||Rites of Battle|Once per battleÂ round, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.|Datasheet||
000000067|4|||Assault Ramp|Each time a unit disembarks from this model after it has made a Normal move, that unit is still eligible to declare a charge this turn.|Datasheet||
000000067|5|||One Shot|The bearer can only shoot with this weapon once per battle.|Wargear profile||
000000068|1|000008343||||Core||
000000068|2|000008350||||Faction||
000000068|3|||Suppression Fire|In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks made with an accelerator autocannon. Until the start of your next turn, while this unit is on the battlefield, that enemy unit is suppressed. While a unit is suppressed, each time a model in that unit makes an attack, subtract 1 from the Hit roll.|Datasheet||
000000070|1|000008350||||Faction||
000000070|2|||Combat Squads|At the start of the Declare Battle Formations step, before any units have been set up, this unit can be split into two units, each containing five models.|Datasheet||
000000071|1|000008350||||Faction||
000000071|2|||Bladeguard|At the start of the Fight phase, you can select one of the following abilities to apply to models in this unit until the end of the phase: <br><ul><li><b>Swords of the Chapter:</b> Each time a model in this unit makes a melee attack, re-roll a Hit roll of 1. </li><li><b>Shields of the Chapter:</b> Each time an invulnerable saving throw is made for a model in this unit, re-roll a saving throw of 1.</li></ul>|Datasheet||
000000072|1|000008339||||Core|D6|
000000072|2|000008342||||Core||
000000072|3|000008350||||Faction||
000000072|4|||Into the Foe|If a unit disembarks from this <span class="kwb">TRANSPORT</span> before it moves, until the end of the turn, that unit is eligible to charge in a turn in which it Advanced.|Datasheet||
000000073|1|000008346||||Core||
000000073|2|000008350||||Faction||
000000073|3|||Relic Shield|The bearer has a Wounds characteristic of 6.|Wargear||
000000073|4|||Rites of Battle|Once per battleÂ round, one unit from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.|Datasheet||
000000073|5|||Finest Hour|Once per battle, at the start of the Fight phase, this model can use this ability. If it does, until the end of the phase, add 3 to the Attacks characteristic of melee weapons equipped by this model and those weapons have the [DEVASTATING WOUNDS] ability.|Datasheet||
000000076|1|000008338||||Core|5+|
000000076|2|000008345||||Core||
000000076|3|000008336||||Core||
000000076|4|000008337||||Core||
000000076|5|000008350||||Faction||
000000076|6|||Priority Objective Identified|At the start of the first battle round, if your army includes one or more models with this ability, you can select one objective marker on the battlefield. Until the end of the battle, while one or more models with this ability are on the battlefield, each time a friendly <span class="kwb">ADEPTUS</span> <span class="kwb">ASTARTES</span> model makes an attack that targets an enemy unit that is within range of that objective marker, re-roll a Wound roll of 1.|Datasheet||
000000076|7|||Evade and Survive|Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9" of this unit, if this unit is not within Engagement Range of one or more enemy units, it can make a Normal move.|Datasheet||
