ï»¿datasheet_id|detachment_ability_id|
000000001|000008884|
000000001|000009990|
000000001|000008365|
000000001|000009622|
000000001|000009614|
000000002|000008884|
000000002|000009990|
000000002|000008365|
000000002|000009622|
000000002|000009614|
000000003|000008884|
000000003|000008365|
000000003|000008871|
000000004|000009614|
000000004|000009990|
000000004|000008365|
000000006|000009794|
000000006|000009614|
000000006|000009990|
000000006|000009622|
000000006|000008365|
000000006|000008875|
000000007|000009614|
000000007|000008871|
000000007|000008365|
000000008|000009990|
000000008|000008884|
000000008|000008365|
000000008|000009622|
000000008|000009614|
000000009|000009990|
000000009|000008365|
000000010|000009990|
000000010|000008365|
000000011|000008365|
000000011|000009990|
000000011|000009614|
000000012|000008365|
000000012|000008875|
000000012|000009614|
000000012|000009990|
000000012|000009794|
000000013|000009990|
000000013|000008365|
000000013|000009614|
000000014|000008365|
000000014|000008871|
000000015|000008365|
000000015|000009614|
000000015|000009990|
000000016|000009990|
000000016|000008880|
000000016|000008365|
000000016|000009614|
000000017|000009990|
000000017|000008365|
000000019|000008365|
000000019|000009990|
000000019|000009614|
000000020|000009990|
000000020|000008365|
000000021|000009614|
000000021|000008884|
000000021|000009622|
000000021|000009990|
000000021|000008365|
000000022|000008365|
000000022|000009990|
000000023|000008871|
000000023|000008365|
000000024|000008884|
000000024|000009622|
000000024|000008365|
000000024|000009990|
000000025|000008365|
000000025|000009614|
000000025|000009990|
000000026|000008365|
000000027|000009614|
000000027|000008365|
000000027|000009990|
000000028|000008871|
000000028|000008365|
000000029|000008871|
000000029|000008365|
000000030|000008365|
000000030|000008871|
000000031|000008365|
000000031|000008871|
000000032|000008871|
000000032|000008365|
000000033|000008365|
000000033|000008871|
000000034|000008365|
000000034|000008871|
000000035|000008871|
000000035|000008365|
000000036|000008365|
000000036|000008871|
000000037|000009794|
000000037|000008875|
000000037|000008365|
000000038|000008365|
000000038|000008875|
000000038|000009794|
000000039|000008365|
000000040|000008875|
000000040|000009990|
000000040|000009794|
000000040|000008365|
000000041|000008365|
000000041|000008875|
000000041|000009794|
000000041|000009990|
000000042|000009794|
000000042|000008365|
000000042|000009990|
000000042|000008875|
000000043|000008875|
000000043|000009794|
000000043|000009990|
000000043|000008365|
000000044|000009990|
000000044|000008365|
000000045|000009990|
000000045|000009614|
000000045|000008365|
000000046|000008875|
