leader_id|attached_id|
000000022|000000021|
000000022|000000016|
000000022|000003861|
000001580|000000841|
000001580|000000842|
000001580|000000843|
000001580|000000844|
000001580|000000848|
000001580|000000849|
000001553|000000894|
000001553|000002507|
000001553|000000909|
000001553|000000903|
000001553|000000896|
000001126|000001125|
000000630|000000615|
000003715|000003716|
000003715|000000511|
000003715|000000512|
000003715|000000513|
000002080|000000019|
000002080|000000020|
000002080|000000021|
000002080|000000016|
000002080|000003861|
000002080|000000044|
000001993|000000017|
000001993|000003692|
000001993|000003691|
000002534|000002536|
000002535|000002536|
000002542|000003916|
000002542|000000590|
000002542|000003918|
000002542|000003917|
000002543|000003918|
000002543|000000589|
000002543|000000590|
000002543|000002531|
000002543|000002532|
000002543|000003916|
000001370|000001044|
000001600|000001601|
000001600|000000946|
000001600|000002571|
000001611|000000071|
000001611|000000326|
000001611|000001157|
000001611|000002270|
000001611|000002780|
000001611|000002202|
000001611|000000305|
000001611|000000315|
000001611|000002797|
000001611|000002799|
000001611|000001606|
000001611|000002798|
000001611|000002255|
000001611|000002783|
000001611|000000303|
000001611|000003698|
000001611|000000070|
000002530|000002806|
000002530|000002718|
000002530|000002779|
000002530|000000128|
000002530|000001159|
000000460|000000471|
000000461|000000471|
000000462|000000490|
000000463|000000467|
000000507|000000515|
000000508|000000512|
000000508|000000513|
000000508|000003716|
000000508|000000511|
000000509|000000512|
000000509|000000513|
000000509|000003716|
000000509|000000511|
000000510|000003716|
000000510|000000511|
000000510|000000512|
000000510|000000513|
000000522|000000534|
000000522|000000536|
000000522|000000535|
000000523|000000534|
000000523|000000536|
000000523|000000535|
000000524|000000534|
000000524|000000535|
000000524|000000536|
000000527|000000534|
000000527|000000535|
000000527|000000536|
000000528|000000534|
000000528|000000535|
000000528|000000536|
000000530|000000534|
000000530|000000535|
000000531|000000535|
000000532|000000534|
000000532|000000536|
000000532|000000535|
000000568|000000584|
000000568|000000590|
000000568|000000589|
000000569|000000590|
000000569|000000589|
000000569|000002532|
000000569|000002531|
000000570|000000592|
000000571|000000593|
000000572|000000594|
000000573|000000595|
000000574|000000596|
000000575|000000600|
000000576|000000607|
000000577|000000607|
000000577|000000596|
000000580|000000591|
000000577|000000595|
000000582|000000589|
000000582|000000590|
000002543|000003917|
000000583|000000591|
000000585|000000589|
000000585|000000590|
000003922|000002612|
000000439|000000443|
000002199|000000070|
000002199|000002799|
000002199|000001606|
000002199|000000315|
000002199|000002099|
000002199|000002780|
000002199|000002798|
000002199|000001157|
000002199|000000126|
000002199|000001177|
000002199|000002797|
000002199|000000103|
000002199|000002255|
000002199|000000305|
000002199|000002781|
000002199|000003698|
000002199|000002772|
000002199|000000303|
000002199|000000071|
000002199|000002783|
000001649|000001142|
000002088|000002522|
000002088|000002523|
000002088|000002521|
000001565|000001574|
000001567|000003716|
000001567|000000511|
000001567|000000512|
000001567|000000513|
000001568|000000512|
000001568|000000513|
000001568|000003716|
000001568|000000511|
000001571|000000512|
000001571|000000513|
000001571|000003716|
000001571|000000511|
000001572|000003716|
000001572|000000511|
000001572|000000512|
000001572|000000513|
000001572|000000514|
000002063|000000894|
000002063|000000903|
000002064|000000908|
000002064|000002507|
000002064|000002481|
000002064|000000909|
000002064|000000894|
000002064|000000903|
000002479|000002483|
000002480|000002481|
000002480|000002507|
000002480|000000894|
000002480|000000903|
000002480|000000908|
000002480|000000909|
000002482|000000908|
000002482|000002481|
000002482|000000909|
000002482|000000894|
000002482|000000903|
000001348|000000241|
000001348|000002712|
000001348|000000116|
000000577|000000593|
000004068|000004044|
000004068|000004064|
000004062|000004052|
000002350|000000534|
000002350|000000535|
000002351|000002116|
000002351|000002359|
000002352|000000534|
000002352|000000535|
000002352|000000546|
